date,avg_positive,avg_negative,avg_neutral,headline_count,close,next_close,stock_move_nextday,return_1d,price_vs_sma20,rsi_change
2024-01-02,0.0007,0.0029,0.9964,1,183.7312774658203,182.3555908203125,0,,,
2024-01-05,0.0012,0.9987,0.0001,1,179.317138671875,183.65211486816406,1,-0.004013194249043117,,
2024-01-08,0.0005,0.0001,0.9995,1,183.65211486816406,183.2364501953125,0,0.024174912829840745,,
2024-01-09,0.0,0.0,0.9999,3,183.2364501953125,184.27565002441406,1,-0.0022633263610928323,,
2024-01-11,0.5,0.0,0.5,2,183.6818084716797,184.00840759277344,1,-0.003222572014564551,,
2024-01-12,0.0132,0.0002,0.9866,2,184.00840759277344,181.74195861816406,0,0.0017780700430336527,,
2024-01-16,0.0036,0.6532,0.3432,3,181.74195861816406,180.80172729492188,0,-0.01231709466028974,,
2024-01-17,0.2293,0.2589,0.5118,6,180.80172729492188,186.69058227539062,1,-0.005173441127140022,,
2024-01-18,0.0001,0.6666,0.3333,3,186.69058227539062,189.59043884277344,1,0.032570789386668464,,
2024-01-19,0.0003,0.6934,0.3063,1,189.59043884277344,191.896484375,1,0.015532955824762329,,
2024-01-22,0.2149,0.4974,0.2876,1,191.896484375,193.17323303222656,1,0.012163300777730424,,
2024-01-24,0.0009,0.0001,0.999,1,192.50021362304688,192.17361450195312,0,-0.003484020009477229,,-2.8649557240993886
2024-01-25,0.0,0.3333,0.6667,3,192.17361450195312,190.44158935546875,0,-0.0016966169280897558,,-1.411239489085176
2024-01-26,0.0001,0.8937,0.1062,1,190.44158935546875,189.75868225097656,0,-0.009012814537381675,,-7.101378988946649
2024-01-29,0.0912,0.2752,0.6336,3,189.75868225097656,186.10662841796875,0,-0.003585913700906551,,-2.598536043918699
2024-01-30,0.0801,0.6647,0.2551,3,186.10662841796875,182.50404357910156,0,-0.019245779901536086,0.0007956888802609858,-11.597204206732108
2024-02-01,0.0001,0.9999,0.0,1,184.93878173828125,183.9391632080078,0,0.013340735423894357,-0.005846906320502551,6.513782102207294
2024-02-02,0.5,0.25,0.25,4,183.9391632080078,185.7503204345703,1,-0.005405132016539693,-0.012255690824017422,-2.1791533506296545
2024-02-07,1.0,0.0,0.0,1,187.46258544921875,186.38377380371094,0,0.00058134563025658,0.002798265978347098,0.2491205480310299
2024-02-13,0.0001,0.0019,0.998,1,183.3711700439453,182.4891815185547,0,-0.011274310651427477,-0.02135380733809331,-4.924244073526907
2024-02-14,0.0009,0.0,0.999,3,182.4891815185547,182.20181274414062,0,-0.004809853834598199,-0.026499314502173424,-1.9181675189003329
2024-02-15,0.0002,0.0002,0.9996,2,182.20181274414062,180.66580200195312,0,-0.0015747167696340547,-0.026867187965103644,-0.6332081249053516
2024-02-16,0.9547,0.0001,0.0452,1,180.66580200195312,179.92254638671875,0,-0.008430271461373762,-0.0327657456143262,-3.2970420619387184
2024-02-23,0.9202,0.0018,0.078,1,180.8739013671875,179.5261688232422,0,-0.0100340749491874,-0.019694962700056117,-4.361749230726531
2024-02-27,0.0,0.0,1.0,1,180.98289489746094,179.78382873535156,0,0.008114282635045988,-0.013841953608273767,4.731792179076315
2024-02-28,0.217,0.2041,0.5788,5,179.78382873535156,179.11985778808594,0,-0.006625301041784826,-0.01868511904958469,-2.704014035668564
2024-02-29,0.3013,0.4368,0.2619,4,179.11985778808594,178.03968811035156,0,-0.003693162794096594,-0.021405448814224976,-1.4554109704725704
2024-03-01,0.0003,0.9997,0.0,1,178.03968811035156,173.52081298828125,0,-0.006030429518385949,-0.025470187303516644,-2.3097786446711126
2024-03-04,0.0037,0.6461,0.3502,1,173.52081298828125,168.585693359375,0,-0.02538127970247539,-0.04748907948322799,-7.702557557096043
2024-03-05,0.2558,0.2106,0.5336,4,168.585693359375,167.59474182128906,0,-0.028441081757953457,-0.07019913110274618,-5.706089027280228
2024-03-06,0.0,0.9884,0.0116,2,167.59474182128906,167.475830078125,0,-0.00587802866506304,-0.07060039473481632,-0.9461355797106847
2024-03-07,0.5,0.0047,0.4952,2,167.475830078125,169.1902313232422,1,-0.000709519534275449,-0.06608420507709872,-0.11657300632711554
2024-03-08,0.0,1.0,0.0,2,169.1902313232422,171.1920166015625,1,0.0102367084511088,-0.051979243929992223,5.980023972669073
2024-03-11,0.999,0.0002,0.0007,1,171.1920166015625,171.6676788330078,1,0.011831565349041062,-0.036455670059248046,6.3359544613580425
2024-03-12,0.0,0.0001,0.9999,2,171.6676788330078,169.58663940429688,0,0.0027785304530432153,-0.030012881947559453,1.4467384431719807
2024-03-13,0.0021,0.0035,0.9944,2,169.58663940429688,171.4397735595703,1,-0.012122488303318302,-0.03802523472674873,-3.328176766014124
2024-03-14,0.0083,0.9857,0.006,1,171.4397735595703,171.0631866455078,0,0.010927359382690183,-0.024456162609993292,5.590975686453348
2024-03-15,0.0004,0.3337,0.6659,3,171.0631866455078,172.1532745361328,1,-0.0021966134593128794,-0.023504436887792687,-0.6696468258483605
2024-03-19,0.9979,0.0,0.0021,1,174.49195861816406,177.05859375,1,0.013584894555928928,4.816372570970277e-05,6.431468728830097
2024-03-20,0.3334,0.3155,0.3511,3,177.05859375,169.82444763183594,0,0.014709188619129732,0.015810972845540564,6.013913367277645
2024-03-21,0.0002,0.9721,0.0277,3,169.82444763183594,170.7262420654297,1,-0.04085735668034507,-0.02207845838946411,-13.50815876356262
2024-03-22,0.3357,0.1981,0.4662,6,170.7262420654297,169.30914306640625,0,0.005310156730488957,-0.0140047324043433,2.012327298685584
2024-03-25,0.1,0.3112,0.5888,4,169.30914306640625,168.179443359375,0,-0.008300416982647274,-0.01929551274677656,-2.1982538590088723
2024-03-26,0.235,0.4999,0.265,2,168.179443359375,171.7469940185547,1,-0.0066724081557022474,-0.022213414715124707,-1.708923463689331
2024-03-27,0.0004,0.9864,0.0131,2,171.7469940185547,169.93344116210938,0,0.02121276291512242,0.0008664516484144797,8.084757780402242
2024-03-28,0.0003,0.002,0.9976,1,169.93344116210938,168.49655151367188,0,-0.010559444529488426,-0.007044276547539387,-3.0087206914552667
2024-04-01,1.0,0.0,0.0,1,168.49655151367188,167.3172607421875,0,-0.008455602608945956,-0.012687565481281495,-2.2695928005655404
2024-04-02,0.9847,0.0002,0.0151,1,167.3172607421875,168.1199493408203,1,-0.006998901525819612,-0.01781254385123712,-1.8133829508607988
2024-04-03,0.008,0.0008,0.9912,2,168.1199493408203,167.29745483398438,0,0.004797404613679612,-0.012965664874233828,1.96785141937076
2024-04-04,0.0002,0.0009,0.9989,1,167.29745483398438,168.05059814453125,1,-0.004892307605735335,-0.017708817104084826,-1.3767951367820785
2024-04-05,0.0002,0.0074,0.9925,1,168.05059814453125,166.93077087402344,0,0.004501821688167595,-0.013453185538402265,1.9819574297956777
2024-04-15,0.009,0.5,0.491,2,171.13253784179688,167.85238647460938,0,-0.02186353951629294,0.005598894515139556,-7.396362689634003
2024-04-16,0.0,1.0,0.0,1,167.85238647460938,166.48486328125,0,-0.019167315628894732,-0.01242780986123644,-5.306267726329665
2024-04-17,0.0008,0.2508,0.7485,2,166.48486328125,165.53347778320312,0,-0.008147177541418138,-0.01816099687423272,-2.029558763280633
2024-04-18,0.0131,0.0,0.9869,3,165.53347778320312,163.51190185546875,0,-0.00571454653171477,-0.020442785711975515,-1.4025715823140672
2024-04-19,0.0003,0.0547,0.945,3,163.51190185546875,164.3443145751953,1,-0.01221248991326096,-0.030595013114955414,-2.8835308429448716
2024-04-23,0.9994,0.0006,0.0,1,165.39476013183594,167.49563598632812,1,0.006391736515837909,-0.01643018974875629,2.3879442765582155
2024-04-24,0.0,1.0,0.0,1,167.49563598632812,168.35780334472656,1,0.012702191126354734,-0.003734133933274969,4.550469008380539
2024-04-26,0.0198,0.002,0.9781,2,167.7731170654297,171.93524169921875,1,-0.0034728789974747265,-0.0004339609628589484,-1.1627792818101383
2024-04-29,0.0006,0.9994,0.0,1,171.93524169921875,168.7938232421875,0,0.024808054511891164,0.023315085840462015,8.168647356135963
2024-05-02,0.4772,0.0228,0.5,2,171.46949768066406,181.72616577148438,1,0.02203201966971169,0.018935479287281294,6.73824431941393
2024-05-03,0.343,0.6565,0.0005,6,181.72616577148438,180.0712127685547,0,0.05981628353470647,0.07551431287795167,12.690667664106698
2024-05-06,0.0017,0.0,0.9982,2,180.0712127685547,180.75498962402344,1,-0.009106850386150445,0.06159179753561924,-3.0716390464442824
2024-05-07,0.0202,0.0002,0.9796,3,180.75498962402344,181.09190368652344,1,0.0037972580122931365,0.0616750130465891,0.7247661871938007
2024-05-08,0.0033,0.0,0.9967,1,181.09190368652344,182.90541076660156,1,0.0018639267618603128,0.059043044068770825,0.37291614552907504
2024-05-09,0.5681,0.4003,0.0317,3,182.90541076660156,181.6451416015625,0,0.01001429132479248,0.06670292084153646,2.016090374839223
2024-05-10,0.3334,0.501,0.1656,3,181.6451416015625,184.85035705566406,1,-0.006890278203126821,0.05729127467380162,-2.7587127338631205
2024-05-13,0.5,0.001,0.499,2,184.85035705566406,185.9915313720703,1,0.017645478573449447,0.07166923281683774,3.635563640524083
2024-05-14,0.0,0.0,1.0,1,185.9915313720703,188.26397705078125,1,0.00617350344669676,0.07264513139187669,1.205647107217473
2024-05-15,0.0,0.0,1.0,1,188.26397705078125,188.38304138183594,1,0.012218006174512297,0.07897454607433349,2.303727707510646
2024-05-20,1.0,0.0,0.0,1,189.57382202148438,190.873779296875,1,0.006161976892606891,0.06422528328832511,1.2857252379468775
2024-05-21,0.0066,0.4934,0.5001,2,190.873779296875,189.43490600585938,0,0.006857261522338787,0.06391418334910325,1.4042268717255553
2024-05-22,0.0002,0.0001,0.9998,1,189.43490600585938,185.4457550048828,0,-0.007538349669168998,0.04947712313765412,-4.29067799023791
2024-05-24,0.0002,0.9892,0.0106,1,188.52195739746094,188.5319061279297,1,0.016588152112174903,0.03358646646330982,4.407098882526832
2024-05-29,0.0,0.0,1.0,1,188.82958984375,189.8218994140625,1,0.0015789566972197466,0.024980224621595676,0.43504119083593196
2024-05-31,0.0,0.0,1.0,1,190.77456665039062,192.5408935546875,1,0.005018742512159058,0.024044252307652884,1.4049382242549058
2024-06-05,0.0376,0.4382,0.5242,2,194.3667755126953,192.9874267578125,0,0.007821004069096249,0.033009070012289234,2.0561239391724087
2024-06-06,0.2374,0.3661,0.3965,5,192.9874267578125,195.37893676757812,1,-0.007096628275302774,0.02244615331739177,-4.604020931710181
2024-06-07,0.0182,0.9625,0.0193,3,195.37893676757812,191.63784790039062,0,0.012392050870582594,0.03170735651548334,3.4346023254445726
2024-06-10,0.0017,0.0128,0.9855,2,191.63784790039062,205.56019592285156,1,-0.0191478617351567,0.009289510757640994,-10.799841113544346
2024-06-11,0.4853,0.168,0.3468,6,205.56019592285156,211.4347686767578,1,0.07264926096277957,0.07674155820144589,15.013193983113979
2024-06-12,0.3333,0.0001,0.6666,3,211.4347686767578,212.59576416015625,1,0.028578357437015756,0.10018179223175097,3.618873714665881
2024-06-13,0.0001,0.9997,0.0002,1,212.59576416015625,210.8592071533203,0,0.005491033904519993,0.09926413154930654,0.6373246323367425
2024-06-14,0.0005,0.098,0.9015,2,210.8592071533203,215.0071563720703,1,-0.008168351865786572,0.08398607461216143,-3.70110114005999
2024-06-17,0.0,0.0036,0.9964,1,215.0071563720703,212.64540100097656,0,0.019671653302451908,0.09780547962328584,2.576293324877625
2024-06-18,0.0,0.368,0.632,1,212.64540100097656,208.07077026367188,0,-0.010984543077285913,0.07938892132756387,-4.824298995005577
2024-06-20,0.0,0.9924,0.0075,2,208.07077026367188,205.89759826660156,0,-0.02151295403413722,0.05157835837649786,-8.370935823392301
2024-06-21,0.0,0.499,0.501,2,205.89759826660156,206.54258728027344,1,-0.010444388677546712,0.03628424243984403,-3.587071500321173
2024-06-24,0.3698,0.0842,0.5459,2,206.54258728027344,207.4654541015625,1,0.0031325718177475093,0.03404072794187703,0.6615104200708473
2024-06-25,0.0137,0.9815,0.0048,1,207.4654541015625,211.61337280273438,1,0.004468167235828879,0.033758947914419295,0.975761759036331
2024-06-26,0.0002,0.0001,0.9997,1,211.61337280273438,212.4568634033203,1,0.019993298253603742,0.04839836618123032,4.0879312112133235
2024-07-10,0.9981,0.0001,0.0018,1,231.19195556640625,225.82347106933594,0,0.01880349696454786,0.07745132623868914,2.607196567877935
2024-07-11,0.0013,0.4935,0.5052,2,225.82347106933594,228.7706756591797,1,-0.02322089660913096,0.04748595537691814,-10.166733991168684
2024-07-12,0.0,0.0,1.0,2,228.7706756591797,232.60105895996094,1,0.013050922368201823,0.05690716501335469,2.225923407792834
2024-07-15,1.0,0.0,0.0,1,232.60105895996094,233.01785278320312,1,0.01674333167808495,0.06966023610670792,2.633310755913371
2024-07-24,0.0,1.0,0.0,1,216.86279296875,215.8208465576172,0,-0.028754227663439047,-0.025369168090120072,-9.079872841087386
2024-07-25,0.0,0.002,0.998,1,215.8208465576172,216.28721618652344,1,-0.00480463428912381,-0.030968100790934337,-1.3017556934727281
2024-07-26,0.0,1.0,0.0,1,216.28721618652344,216.56509399414062,1,0.0021609109423159634,-0.02970847343076518,0.6692640449066545
