date,avg_positive,avg_negative,avg_neutral,headline_count,open,close,stock_move_intraday,overnight_gap,open_vs_sma20,rsi_change_lag1
2024-01-31,0.5,0.5,0.0,2,4899.18994140625,4845.64990234375,0,-0.005234604944370797,0.020147357744242624,-1.0944416471684377
2024-02-01,0.0,1.0,0.0,1,4861.10986328125,4906.18994140625,1,0.00319048244282409,0.011135610560839065,-22.29658205658928
2024-02-02,0.0,1.0,0.0,1,4916.06005859375,4958.60986328125,1,0.0020117682571154085,0.020428343831641594,8.303683491481358
2024-02-05,0.0002,0.9998,0.0001,2,4957.18994140625,4942.81005859375,0,-0.00028635482809700184,0.02609112471870258,5.33465498105943
2024-02-07,0.0,1.0,0.0,1,4973.0498046875,4995.06005859375,1,0.0037987385109177637,0.02474714913761361,1.1673621279566504
2024-02-08,0.4958,0.2232,0.281,4,4995.16015625,4997.91015625,1,2.0039329873078705e-05,0.02677950397923314,3.824091210013094
2024-02-09,0.211,0.2984,0.4907,5,5004.169921875,5026.60986328125,1,0.0012524766210877203,0.026369218613747327,0.25118262954839565
2024-02-12,0.4524,0.0626,0.485,4,5026.830078125,5021.83984375,0,4.3809814117192904e-05,0.028418524019964805,2.464035804380913
2024-02-13,0.7173,0.2458,0.0369,4,4967.93994140625,4953.169921875,0,-0.010733098629346348,0.013901914137115178,-1.1430624388272719
2024-02-14,0.1833,0.7519,0.0648,4,4976.43994140625,5000.6201171875,1,0.004698005499161482,0.013700330270348485,-14.08679142915664
2024-02-15,0.6667,0.2525,0.0809,3,5003.14013671875,5029.72998046875,1,0.0005039414057045659,0.01643294420779713,5.138201780346314
2024-02-20,1.0,0.0,0.0,2,4989.31982421875,4975.509765625,0,-0.0032463836427526487,0.009374770237478037,-4.282391329857681
2024-02-22,0.0053,0.5003,0.4944,2,5038.830078125,5087.02978515625,1,0.01144772485314219,0.016898889819392103,0.7401832274380951
2024-02-23,0.0016,0.4873,0.5112,1,5100.919921875,5088.7998046875,0,0.0027305003716079795,0.027164909058176905,9.96310565709917
2024-02-28,0.518,0.0003,0.4818,2,5067.2001953125,5069.759765625,1,-0.002162188045456814,0.015025317299639308,0.7924961351228319
2024-02-29,0.0053,0.0001,0.9945,1,5085.35986328125,5096.27001953125,1,0.0030770881417350195,0.01718784664288173,-1.5394850653206191
2024-03-01,0.5,0.0004,0.4996,2,5098.509765625,5137.080078125,1,0.00043948732801956395,0.017268357134304777,2.6041640207539842
2024-03-04,0.59,0.0006,0.4094,4,5130.990234375,5130.9501953125,0,-0.001185467942369073,0.021396272483710246,3.567435621228796
2024-03-06,0.0001,0.5739,0.426,3,5108.02978515625,5104.759765625,0,0.0057849789565020925,0.01371621560468556,-9.484263314826897
2024-03-08,1.0,0.0,0.0,2,5164.4599609375,5123.68994140625,0,0.0013766923085589626,0.02174345894817947,4.824435196983998
2024-03-12,0.0205,0.3794,0.6002,1,5134.2998046875,5175.27001953125,1,0.0031965719544483013,0.013599662138779856,-0.9187814807543475
2024-03-13,1.0,0.0,0.0,1,5173.490234375,5165.31005859375,0,-0.00034390189295112453,0.01979206789132582,5.347031440072577
2024-03-14,0.0037,0.9852,0.0112,2,5175.14013671875,5150.47998046875,0,0.0019030954605803911,0.017988842612682753,-1.6633279759711286
2024-03-15,0.0023,0.7455,0.2523,1,5123.31005859375,5117.08984375,0,-0.005275221334328386,0.006310249125574275,-2.4999436708436633
2024-03-18,0.4948,0.25,0.2552,4,5154.77001953125,5149.419921875,0,0.007363594725090174,0.011621628098874048,-5.328680340547145
2024-03-19,0.0114,0.0001,0.9885,1,5139.08984375,5178.509765625,1,-0.0020060663689743575,0.007122819293891339,3.5308888681851798
