date,avg_positive,avg_negative,avg_neutral,headline_count,close,next_close,stock_move
2024-01-02,0.0007,0.0029,0.9964,1,183.90322875976562,179.48492431640625,0
2024-01-05,0.0012,0.9987,0.0001,1,179.48492431640625,183.82398986816406,1
2024-01-08,0.0005,0.0001,0.9995,1,183.82398986816406,183.40789794921875,0
2024-01-09,0.0,0.0,0.9999,3,183.40789794921875,183.85369873046875,1
2024-01-11,0.5,0.0,0.5,2,183.85369873046875,184.18060302734375,1
2024-01-12,0.0132,0.0002,0.9866,2,184.18060302734375,181.91204833984375,0
2024-01-16,0.0036,0.6532,0.3432,3,181.91204833984375,180.97088623046875,0
2024-01-17,0.2293,0.2589,0.5118,6,180.97088623046875,186.86526489257812,1
2024-01-18,0.0001,0.6666,0.3333,3,186.86526489257812,189.76783752441406,1
2024-01-19,0.0003,0.6934,0.3063,1,189.76783752441406,192.07603454589844,1
2024-01-22,0.2149,0.4974,0.2876,1,192.07603454589844,192.68035888671875,1
2024-01-24,0.0009,0.0001,0.999,1,192.68035888671875,192.35342407226562,0
2024-01-25,0.0,0.3333,0.6667,3,192.35342407226562,190.6197967529297,0
2024-01-26,0.0001,0.8937,0.1062,1,190.6197967529297,189.93624877929688,0
2024-01-29,0.0912,0.2752,0.6336,3,189.93624877929688,186.28077697753906,0
2024-01-30,0.0801,0.6647,0.2551,3,186.28077697753906,185.11181640625,0
2024-02-01,0.0001,0.9999,0.0,1,185.11181640625,184.11126708984375,0
2024-02-02,0.5,0.25,0.25,4,184.11126708984375,187.63796997070312,1
2024-02-07,1.0,0.0,0.0,1,187.63796997070312,183.54275512695312,0
2024-02-13,0.0001,0.0019,0.998,1,183.54275512695312,182.65994262695312,0
2024-02-14,0.0009,0.0,0.999,3,182.65994262695312,182.37229919433594,0
2024-02-15,0.0002,0.0002,0.9996,2,182.37229919433594,180.8348388671875,0
2024-02-16,0.9547,0.0001,0.0452,1,180.8348388671875,181.0431671142578,1
2024-02-23,0.9202,0.0018,0.078,1,181.0431671142578,181.15225219726562,1
2024-02-27,0.0,0.0,1.0,1,181.15225219726562,179.95204162597656,0
2024-02-28,0.217,0.2041,0.5788,5,179.95204162597656,179.2874755859375,0
2024-02-29,0.3013,0.4368,0.2619,4,179.2874755859375,178.206298828125,0
2024-03-01,0.0003,0.9997,0.0,1,178.206298828125,173.68319702148438,0
2024-03-04,0.0037,0.6461,0.3502,1,173.68319702148438,168.7434539794922,0
2024-03-05,0.2558,0.2106,0.5336,4,168.7434539794922,167.7515411376953,0
2024-03-06,0.0,0.9884,0.0116,2,167.7515411376953,167.63253784179688,0
2024-03-07,0.5,0.0047,0.4952,2,167.63253784179688,169.34854125976562,1
2024-03-08,0.0,1.0,0.0,2,169.34854125976562,171.35218811035156,1
2024-03-11,0.999,0.0002,0.0007,1,171.35218811035156,171.82830810546875,1
2024-03-12,0.0,0.0001,0.9999,2,171.82830810546875,169.74530029296875,0
2024-03-13,0.0021,0.0035,0.9944,2,169.74530029296875,171.6001739501953,1
2024-03-14,0.0083,0.9857,0.006,1,171.6001739501953,171.22323608398438,0
2024-03-15,0.0004,0.3337,0.6659,3,171.22323608398438,174.65525817871094,1
2024-03-19,0.9979,0.0,0.0021,1,174.65525817871094,177.22430419921875,1
2024-03-20,0.3334,0.3155,0.3511,3,177.22430419921875,169.9833526611328,0
2024-03-21,0.0002,0.9721,0.0277,3,169.9833526611328,170.88600158691406,1
2024-03-22,0.3357,0.1981,0.4662,6,170.88600158691406,169.46755981445312,0
2024-03-25,0.1,0.3112,0.5888,4,169.46755981445312,168.33680725097656,0
2024-03-26,0.235,0.4999,0.265,2,168.33680725097656,171.9076690673828,1
2024-03-27,0.0004,0.9864,0.0131,2,171.9076690673828,170.0924530029297,0
2024-03-28,0.0003,0.002,0.9976,1,170.0924530029297,168.6542205810547,0
2024-04-01,1.0,0.0,0.0,1,168.6542205810547,167.47381591796875,0
2024-04-02,0.9847,0.0002,0.0151,1,167.47381591796875,168.27725219726562,1
2024-04-03,0.008,0.0008,0.9912,2,168.27725219726562,167.45399475097656,0
2024-04-04,0.0002,0.0009,0.9989,1,167.45399475097656,168.2078399658203,1
2024-04-05,0.0002,0.0074,0.9925,1,168.2078399658203,171.2926788330078,1
2024-04-15,0.009,0.5,0.491,2,171.2926788330078,168.0094757080078,0
2024-04-16,0.0,1.0,0.0,1,168.0094757080078,166.64065551757812,0
2024-04-17,0.0008,0.2508,0.7485,2,166.64065551757812,165.6884002685547,0
2024-04-18,0.0131,0.0,0.9869,3,165.6884002685547,163.66490173339844,0
2024-04-19,0.0003,0.0547,0.945,3,163.66490173339844,165.5495147705078,1
2024-04-23,0.9994,0.0006,0.0,1,165.5495147705078,167.65237426757812,1
2024-04-24,0.0,1.0,0.0,1,167.65237426757812,167.9300994873047,1
2024-04-26,0.0198,0.002,0.9781,2,167.9300994873047,172.09613037109375,1
2024-04-29,0.0006,0.9994,0.0,1,172.09613037109375,171.6299285888672,0
2024-05-02,0.4772,0.0228,0.5,2,171.6299285888672,181.8961944580078,1
2024-05-03,0.343,0.6565,0.0005,6,181.8961944580078,180.2397003173828,0
2024-05-06,0.0017,0.0,0.9982,2,180.2397003173828,180.924072265625,1
2024-05-07,0.0202,0.0002,0.9796,3,180.924072265625,181.2613525390625,1
2024-05-08,0.0033,0.0,0.9967,1,181.2613525390625,183.07655334472656,1
2024-05-09,0.5681,0.4003,0.0317,3,183.07655334472656,181.81512451171875,0
2024-05-10,0.3334,0.501,0.1656,3,181.81512451171875,185.0233154296875,1
2024-05-13,0.5,0.001,0.499,2,185.0233154296875,186.1655731201172,1
2024-05-14,0.0,0.0,1.0,1,186.1655731201172,188.4401397705078,1
2024-05-15,0.0,0.0,1.0,1,188.4401397705078,189.751220703125,1
2024-05-20,1.0,0.0,0.0,1,189.751220703125,191.05239868164062,1
2024-05-21,0.0066,0.4934,0.5001,2,191.05239868164062,189.61215209960938,0
2024-05-22,0.0002,0.0001,0.9998,1,189.61215209960938,188.6983642578125,0
2024-05-24,0.0002,0.9892,0.0106,1,188.6983642578125,189.00628662109375,1
2024-05-29,0.0,0.0,1.0,1,189.00628662109375,190.95306396484375,1
2024-05-31,0.0,0.0,1.0,1,190.95306396484375,194.5486297607422,1
2024-06-05,0.0376,0.4382,0.5242,2,194.5486297607422,193.1680145263672,0
2024-06-06,0.2374,0.3661,0.3965,5,193.1680145263672,195.56175231933594,1
2024-06-07,0.0182,0.9625,0.0193,3,195.56175231933594,191.8171844482422,0
2024-06-10,0.0017,0.0128,0.9855,2,191.8171844482422,205.75253295898438,1
2024-06-11,0.4853,0.168,0.3468,6,205.75253295898438,211.6326141357422,1
2024-06-12,0.3333,0.0001,0.6666,3,211.6326141357422,212.7947235107422,1
2024-06-13,0.0001,0.9997,0.0002,1,212.7947235107422,211.05653381347656,0
2024-06-14,0.0005,0.098,0.9015,2,211.05653381347656,215.2082977294922,1
2024-06-17,0.0,0.0036,0.9964,1,215.2082977294922,212.8443603515625,0
2024-06-18,0.0,0.368,0.632,1,212.8443603515625,208.2654571533203,0
2024-06-20,0.0,0.9924,0.0075,2,208.2654571533203,206.09027099609375,0
2024-06-21,0.0,0.499,0.501,2,206.09027099609375,206.73587036132812,1
2024-06-24,0.3698,0.0842,0.5459,2,206.73587036132812,207.65960693359375,1
2024-06-25,0.0137,0.9815,0.0048,1,207.65960693359375,211.81138610839844,1
2024-06-26,0.0002,0.0001,0.9997,1,211.81138610839844,231.4082794189453,1
2024-07-10,0.9981,0.0001,0.0018,1,231.4082794189453,226.0347900390625,0
2024-07-11,0.0013,0.4935,0.5052,2,226.0347900390625,228.98475646972656,1
2024-07-12,0.0,0.0,1.0,2,228.98475646972656,232.81871032714844,1
2024-07-15,1.0,0.0,0.0,1,232.81871032714844,217.06568908691406,0
2024-07-24,0.0,1.0,0.0,1,217.06568908691406,216.02281188964844,0
2024-07-25,0.0,0.002,0.998,1,216.02281188964844,216.4896240234375,1
2024-07-26,0.0,1.0,0.0,1,216.4896240234375,216.76771545410156,1
2024-07-29,0.0098,0.0026,0.9875,3,216.76771545410156,217.32395935058594,1
2024-07-30,0.0,0.0,1.0,1,217.32395935058594,220.58181762695312,1
2024-07-31,0.006,0.0,0.994,1,220.58181762695312,216.88693237304688,0
2024-08-01,0.9999,0.0001,0.0,1,216.88693237304688,218.37681579589844,1
2024-08-02,0.6666,0.0,0.3333,3,218.37681579589844,207.8582305908203,0
2024-08-05,1.0,0.0,0.0,1,207.8582305908203,205.8319854736328,0
2024-08-06,0.006,0.5399,0.4542,2,205.8319854736328,214.78123474121094,1
2024-08-09,0.0,0.0,1.0,2,214.78123474121094,220.47914123535156,1
2024-08-14,0.004,0.7767,0.2193,1,220.47914123535156,224.78492736816406,1
2024-08-16,0.659,0.108,0.233,1,224.78492736816406,224.62582397460938,0
2024-08-19,0.0,0.0,1.0,1,224.62582397460938,225.13296508789062,1
2024-08-21,0.0001,0.0193,0.9806,1,225.13296508789062,223.27342224121094,0
2024-08-22,0.0,0.0,1.0,1,223.27342224121094,225.5705108642578,1
2024-08-23,0.0,0.0001,0.9999,1,225.5705108642578,225.90859985351562,1
2024-08-26,0.1739,0.4979,0.3282,2,225.90859985351562,226.75384521484375,1
2024-08-27,0.0001,0.0002,0.9997,3,226.75384521484375,225.22247314453125,0
2024-08-28,0.0,0.0,1.0,1,225.22247314453125,228.50399780273438,1
2024-08-29,0.0,0.0,1.0,1,228.50399780273438,227.71841430664062,0
2024-08-30,0.0,0.0,1.0,1,227.71841430664062,219.61404418945312,0
2024-09-04,0.0133,0.4276,0.5591,2,219.61404418945312,221.13548278808594,1
2024-09-05,0.9943,0.0002,0.0055,1,221.13548278808594,219.6737060546875,0
2024-09-09,0.7484,0.25,0.0016,4,219.6737060546875,218.87815856933594,0
2024-09-10,0.2954,0.3318,0.3728,7,218.87815856933594,221.41390991210938,1
2024-09-11,0.0,1.0,0.0,2,221.41390991210938,215.10939025878906,0
2024-09-16,0.5293,0.4686,0.0021,2,215.10939025878906,215.57675170898438,1
2024-09-17,0.4994,0.0014,0.4992,2,215.57675170898438,219.4549102783203,1
2024-09-18,0.0,0.0,1.0,2,219.4549102783203,227.5891571044922,1
2024-09-19,0.0003,0.0004,0.9994,2,227.5891571044922,226.9228973388672,0
2024-09-20,0.0,0.0001,0.9998,1,226.9228973388672,226.0975341796875,0
2024-09-24,0.0,0.0084,0.9916,1,226.0975341796875,224.50650024414062,0
2024-10-08,0.005,0.995,0.0,1,224.50650024414062,228.25540161132812,1
2024-10-09,0.1836,0.3337,0.4827,3,228.25540161132812,227.7581787109375,0
2024-10-10,0.0002,0.3333,0.6665,3,227.7581787109375,226.2765350341797,0
2024-10-11,0.0,0.0002,0.9998,1,226.2765350341797,230.00555419921875,1
2024-10-14,0.0,1.0,0.0,1,230.00555419921875,230.4828643798828,1
2024-10-16,0.0972,0.1948,0.7081,1,230.4828643798828,233.68484497070312,1
