date,avg_positive,avg_negative,avg_neutral,headline_count,open,close,stock_move_intraday,overnight_gap,open_vs_sma20,rsi_change_lag1
2024-02-01,0.0001,0.9999,0.0,1,182.09829474891072,184.93878173828125,1,-0.0022232320020623753,-0.020436051001998273,-8.27226087684138
2024-02-02,0.5,0.25,0.25,4,178.01074479617154,183.9391632080078,1,-0.03746124461830847,-0.043089118550878346,6.513782102207294
2024-02-07,1.0,0.0,0.0,1,188.679934980489,187.46258544921875,0,0.0070789474273401575,0.010452427473470416,3.6936742761329597
2024-02-13,0.0001,0.0019,0.998,1,184.09459726813964,183.3711700439453,0,-0.007373637057188847,-0.01706556567453137,-4.488649266002604
2024-02-14,0.0009,0.0,0.999,3,183.64864282656313,182.4891815185547,0,0.0015131756128911854,-0.019872943785708502,-4.924244073526907
2024-02-15,0.0002,0.0002,0.9996,2,181.8946109768474,182.20181274414062,1,-0.003258113915354732,-0.029671090632201264,-1.9181675189003329
2024-02-16,0.9547,0.0001,0.0452,1,181.76579187183052,180.66580200195312,0,-0.0023930655010683003,-0.029195958525541937,-0.6332081249053516
2024-02-23,0.9202,0.0018,0.078,1,183.34143499372246,180.8739013671875,0,0.003471324064834274,-0.009354838452477162,6.758250843797519
2024-02-27,0.0,0.0,1.0,1,179.4666949255866,180.98289489746094,1,-0.0003312826093567209,-0.024436074101396334,-2.8987762669059123
2024-02-28,0.217,0.2041,0.5788,5,180.86399474191828,179.78382873535156,0,-0.0006569690224594231,-0.014489828896002234,4.731792179076315
2024-02-29,0.3013,0.4368,0.2619,4,179.63517226295397,179.11985778808594,0,-0.0008268623126077601,-0.019496531341443763,-2.704014035668564
2024-03-01,0.0003,0.9997,0.0,1,177.93067957222544,178.03968811035156,1,-0.0066390082626538996,-0.02790234612533542,-1.4554109704725704
2024-03-04,0.0037,0.6461,0.3502,1,174.56133114426578,173.52081298828125,0,-0.01953697517111942,-0.0445095520576835,-2.3097786446711126
2024-03-05,0.2558,0.2106,0.5336,4,169.21992063394748,168.585693359375,0,-0.02478603160200863,-0.07109804526041502,-7.702557557096043
2024-03-06,0.0,0.9884,0.0116,2,169.5172478388351,167.59474182128906,0,0.005525703046902622,-0.06506132760846792,-5.706089027280228
2024-03-07,0.5,0.0047,0.4952,2,167.62447121611535,167.475830078125,0,0.0001773885893030685,-0.07043552984993949,-0.9461355797106847
2024-03-08,0.0,1.0,0.0,2,167.47583792632756,169.1902313232422,1,4.686170269172068e-08,-0.06608416131221441,-0.11657300632711554
2024-03-11,0.999,0.0002,0.0007,1,171.38030546468005,171.1920166015625,0,0.012944447940695051,-0.039707638606345644,5.980023972669073
2024-03-12,0.0,0.0001,0.9999,2,171.58839851794536,171.6676788330078,1,0.002315422904944311,-0.03422465744777401,6.3359544613580425
2024-03-13,0.0021,0.0035,0.9944,2,171.21184817645832,169.58663940429688,0,-0.002655308556906104,-0.03258849704221279,1.4467384431719807
2024-03-14,0.0083,0.9857,0.006,1,171.35058886714742,171.4397735595703,1,0.010401464814956725,-0.02801928805288275,-3.328176766014124
2024-03-15,0.0004,0.3337,0.6659,3,169.6262667891251,171.0631866455078,1,-0.01057809826034949,-0.034775561179183186,5.590975686453348
2024-03-19,0.9979,0.0,0.0021,1,172.76764601394297,174.49195861816406,1,0.003568746975423948,-0.01137270611236585,3.29281398666852
2024-03-20,0.3334,0.3155,0.3511,3,174.1352024891535,177.05859375,1,-0.002044541948155001,-0.001996476695202891,6.431468728830097
2024-03-21,0.0002,0.9721,0.0277,3,175.45322885093574,169.82444763183594,0,-0.009066856711462252,0.006600760308818976,6.013913367277645
2024-03-22,0.3357,0.1981,0.4662,6,170.21092760104455,170.7262420654297,1,0.002275761673881382,-0.01985294202500385,-13.50815876356262
2024-03-25,0.1,0.3112,0.5888,4,169.03166954174233,169.30914306640625,1,-0.009925671081297051,-0.023791397118213257,2.012327298685584
2024-03-26,0.235,0.4999,0.265,2,168.46682128354186,168.179443359375,0,-0.004975051952947479,-0.024174568521350068,-2.1982538590088723
2024-03-27,0.0004,0.9864,0.0131,2,168.8731538396293,171.7469940185547,1,0.004124823262566948,-0.018180217862315752,-1.708923463689331
2024-03-28,0.0003,0.002,0.9976,1,170.2010103030642,169.93344116210938,0,-0.00900151833413433,-0.008142866066118692,8.084757780402242
